,text,meta_info,id,answer,,annotator,annotation_id,created_at,updated_at,lead_time
471,"Theorem to prove: 
Lemma evolve_union: forall l J R S, 
      (exists j:J, evolve_1 l R (S j)) -> evolve_1 l R (union S).

Model Answer:
Proof.
intros l J R S H.
destruct H as [j evolve_1_Sj].
unfold evolve_1 in *.
destruct l as [rule | rule | rule]; simpl in *;
try destruct rule as [src dst trgt snd]; try destruct trgt as [fst_snd snd_snd];
try rewrite union_iff; intuition eauto using In_singleton, In_add.
",{'dat_id': '15sample1'},1952,"Error: ""Expects a disjunctive pattern with 2 branches.""",Complex Error,5,531,2023-05-04T21:27:02.155242Z,2023-05-04T21:27:02.155279Z,17.645
488,"Theorem to prove: 
Lemma simulation_eeq: forall R S, eeq R S -> simulation R -> simulation S.

Model Answer:
Proof.
  intros R S H [I_order I_index I_match_states I_properties].
  apply Simulation with (eeq_order H I_order) (eeq_match_states H I_index I_match_states).
  constructor.
  - (* well founded *)
    apply (eeq_wf H). eapply sim_order_wf; eauto.
  - (* initial states *)
    intros s1 s'.
    eapply (eeq_initial_states_exist H); eauto.
    eapply sim_initial_states_exist; eauto.
  - (* match initial states *)
    intros s1 s' INIT1 INIT'.
    exploit (sim_match_initial_states I_properties); eauto.
    intros [i [s1' [INIT1' M]]].
    exists (eeq_index_refl2 H i). exists s1'; split; auto.
  - (* match final states *)
    intros i s1 s' r MS FIN. inv MS. exploit (sim_match_final_states I_properties); eauto. tauto.
  - (* progress *)
    intros i s1 s' MS SAFE. inv MS. exploit (sim_progress I_properties); eauto. tauto.
",{'dat_id': '18sample3'},1969,"Error: ""Unexpected name (at most 3 introduction patterns were expected in the branch).""",Complex Error,5,548,2023-05-04T22:08:51.195792Z,2023-05-04T22:08:51.195828Z,20.393
295,"Theorem to prove: 
Lemma star_eeq: eeq T T' -> eeq (star T) (star T').

Model Answer:
Proof.
intros H.
unfold eeq in *.
intros s.
split; intro HS.
{
  apply star_E0_ind with T; auto.
  {
    intros s1 s2 Hstep Hstar'.
    eapply star_step; eauto.
  }
  {
    eapply star_E0_ind; eauto.
    intros s1 s2 Hstep Hstar'.
    econstructor. apply H; eauto. auto.
  }
}
{
  apply star_E0_ind with T'; auto.
  {
    intros s1 s2 Hstep Hstar'.
    eapply star_step; eauto.  
  }
  {
    eapply star_E0_ind; eauto. 
    intros s1 s2 Hstep Hstar'.
    econstructor. apply <-H; eauto. auto. 
  }
}
",{'dat_id': '106sample0'},1776,"Error: ""Not an inductive goal with 1 constructor.""",Complex Error,5,359,2023-05-04T01:34:35.590192Z,2023-05-04T01:34:35.590228Z,19.608
296,"Theorem to prove: 
Lemma star_eeq: eeq T T' -> eeq (star T) (star T').

Model Answer:
Proof.
intros H s.
split; intros H0.
{
  eapply star_ind.
  apply star_refl.
  intros s1 s2 t1 t2 H1 H2 H3.
  eapply star_step; eauto.
  apply eeq_sym in H. eauto with eeq.
}
{
  eapply star_ind. 
  apply star_refl. 
  intros s1 s2 t1 t2 H1 H2 H3. 
  eapply star_step; eauto. eauto with eeq. 
}
",{'dat_id': '106sample1'},1777,"Error: ""Not an inductive goal with 1 constructor.""",Complex Error,5,360,2023-05-04T01:34:56.787950Z,2023-05-04T01:34:56.787986Z,18.017
345,"Theorem to prove: 
Lemma plus_star: forall x y, plus R x y -> star R x y.

Model Answer:
Proof.
intros x y H.
destruct H as [n Hn].
eexists.
apply Hn.
",{'dat_id': '116sample0'},1826,"Error: ""Not an inductive goal with 1 constructor.""",Complex Error,5,469,2023-05-04T20:33:52.557836Z,2023-05-04T20:34:23.178911Z,37.444
572,"Theorem to prove: 
Lemma expand_refl: reflexive (expand TX TX).

Model Answer:
Proof.
intros. unfold expand.
reflexivity.
",{'dat_id': '35sample2'},2053,"Error: ""Cannot find a relation to rewrite.""",Complex Error,5,639,2023-05-04T22:48:59.119388Z,2023-05-04T22:48:59.119423Z,18.87
180,"Theorem to prove: 
Lemma chaining_r_mon: simulation TY TY T -> monotonic TX TY (chaining_r T).

Model Answer:
Proof.
intros SIM. red; intros. destruct H0.
destruct H0 as [y [A B]]. exists y.
split. auto. apply docompose_safe with a; auto.
",{'dat_id': '2sample0'},1661,"Error: ""No head constant to reduce.""",Complex Error,5,244,2023-05-04T00:26:43.365739Z,2023-05-04T00:26:43.365774Z,52.579
191,"Theorem to prove: 
Lemma Comp_mon: monotonic TX TY (Comp G F).

Model Answer:
Proof.
red; intros x y Hxy.
unfold Comp.
apply G_mon.
apply F_mon.
assumption.
",{'dat_id': '4sample1'},1672,"Error: ""No head constant to reduce.""",Complex Error,5,255,2023-05-04T00:33:45.993501Z,2023-05-04T00:33:45.993538Z,17.953
707,"Theorem to prove: 
Lemma Comp_wmon: wmonotonic TX TY (Comp G F).

Model Answer:
Proof.
red.
intros x y H.
destruct (Comp G F x) as [x'|] eqn:X; destruct (Comp G F y) as [y'|] eqn:Y; auto.
- apply Comp_complete in X. destruct X as (x'' & B & C).
  apply Comp_complete in Y. destruct Y as (y'' & D & E).
  assert (TXx: TX x) by eauto. apply wbound with (WX x':= bitwp_wf x') in TXx.
    destruct TXx as (wx' ->).
  assert (TYy: TY y) by eauto. apply wbound with (WY y':= bitwp_wf _) in TYy.
    destruct TYy as (wy' ->).
  erewrite C in *.
  erewrite E in *.
  erewrite G_lt_wf by eauto using G_complete,bitwp_wf,wbound,WB_equiv_OP,Comp_wcomp'.
  erewrite H0_lt_wf by eauto using H0_complete,bitwp_wf,wbound,WB_equiv_op,Comp_wcomp'.
  exploit wlt_dec. intros [n Z].
    eexists n. intros PSI % closed_wRTL% Q",{'dat_id': '68sample2'},2188,"Error: ""No head constant to reduce.""",Complex Error,5,751,2023-05-04T23:42:59.888843Z,2023-05-04T23:42:59.888881Z,19.287
1,"Theorem to prove: 
Lemma F_mon: monotonic TX TX F.

Model Answer:
Proof.
unfold monotonic.
intros x y Hxy.
apply F_le_compat.
exact Hxy.
",{'dat_id': '139sample1'},1482,"Error ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,70,2023-05-02T18:00:31.669115Z,2023-05-02T18:00:31.669152Z,5.532
2,"Theorem to prove: 
Lemma F_mon: monotonic TX TX F.

Model Answer:
Proof.
unfold monotonic.
intros f g H x.
apply F.
exact H.
",{'dat_id': '139sample2'},1483,"Error ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,71,2023-05-02T18:00:43.167414Z,2023-05-02T18:00:43.167451Z,7.083
3,"Theorem to prove: 
Lemma F_mon: monotonic TX TX F.

Model Answer:
Proof.
unfold monotonic.
intros x y Hle.
apply F_le_compat; assumption.
",{'dat_id': '139sample3'},1484,"Error ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,72,2023-05-02T18:00:48.921668Z,2023-05-02T18:00:48.921706Z,4.652
4,"Theorem to prove: 
Lemma F_mon: monotonic TX TX F.

Model Answer:
Proof.
unfold monotonic.
intros x y Hxy.
apply F; assumption.
",{'dat_id': '139sample4'},1485,"Error ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,73,2023-05-02T18:00:54.666850Z,2023-05-02T18:00:54.666888Z,4.399
196,"Theorem to prove: 
Lemma Union2_mon: monotonic TX TY (Union2 F G).

Model Answer:
Proof.
unfold monotonic.
intros x y H.
unfold Union2.
apply Union_inc_compat.
- apply F_mon; auto.
- apply G_mon; auto.
",{'dat_id': '5sample1'},1677,"Error ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,260,2023-05-04T00:34:55.398689Z,2023-05-04T00:34:55.398728Z,7.031
46,"Theorem to prove: 
Theorem upto_ctrl: incl R (bisim TX TX).

Model Answer:
Proof.
intros x y H.
unfold bisim in H.
unfold R in H.
apply (H TX).
",{'dat_id': '148sample1'},1527,"Error: ""Cannot coerce R to an evaluable reference.""",Dependency,5,96,2023-05-02T18:17:17.087259Z,2023-05-02T18:17:17.087296Z,20.991
71,"Theorem to prove: 
Theorem diagram_incl: diagram RX R' RY S'.

Model Answer:
Proof.
unfold RY, RX, S', R' in |- *.
intros x x' y y' Hf1 Hf2 Hs1 Hs2.
change (Gim3_fam (inG_cancel_action w1 x) (w2' x') I = Gim3_fam (inG_cancel_action w1 y) (w2' y') I) in |- *.
generalize w2'_bij_w2'_id.
intro bij_w2'.
unfold imageGram in |- *.
elim forall2_indep with
(part_rules_list Gim)
  Z
  GIG
  Gim3 GIG
  Code_Iword_with_Code tCode_Iword_with_Code_contIwordWithCode_sym).
{
intros Hget_cases_forall_independence_iterated HIdec HIdeq_inv HIdeq_inv_GI_dec_dec eq_coll coll_eqv V_Vkm_notVkm_RR km_Z_Z Z_ZZ_RR dec_assoc dec_pcomp dec_compatible compatible_dec deckm deckm_aa deckm_pri deckm_pro RR RR_equiv RR_congr RR_rest RR_real RR_rest_priv RR_sing G_bij F_bij G_F_bij F_x F_x'_test_y F'_yy0",{'dat_id': '54sample1'},1552,"Error: ""Cannot coerce RY to an evaluable reference.""",Dependency,5,119,2023-05-02T18:29:38.562042Z,2023-05-02T18:29:38.562077Z,34.655
561,"Theorem to prove: 
Lemma bisim_refl: reflexive (bisim TX TX).

Model Answer:
Proof.
intro x.
unfold bisim, TX, R2 in |- *.
intros n.
exists n.
split; auto with arith.
",{'dat_id': '33sample1'},2042,"Error: ""Cannot coerce TX to an evaluable reference.""",Dependency,5,628,2023-05-04T22:45:25.366042Z,2023-05-04T22:45:25.366078Z,16.273
575,"Theorem to prove: 
Lemma expand_trans: transitive (expand TX TX).

Model Answer:
Proof.
intros x y z Hxy Hyz.
unfold expand, TX in *.
elim: x y z Hxy Hyz => [x0 Z] [y0 Y] [z0 Z'].
move=> /(inj_eq (addIf Z)) -> /(inj_eq (addIf Y)) ->.
by apply f_equal2; auto; rewrite !addrA addrCA.
",{'dat_id': '36sample0'},2056,"Error: ""Cannot coerce TX to an evaluable reference.""",Dependency,5,642,2023-05-04T22:50:07.610990Z,2023-05-04T22:50:07.611025Z,26.177
583,"Theorem to prove: 
Lemma wexpand_refl: reflexive (wexpand TX TX).

Model Answer:
Proof.
intros x. unfold wexpand, TX.
apply RTC_refl.
",{'dat_id': '37sample3'},2064,"Error: ""Cannot coerce TX to an evaluable reference.""",Dependency,5,606,2023-05-04T22:32:24.162742Z,2023-05-04T22:32:24.162779Z,15.039
216,"Theorem to prove: 
Lemma weak_refl: forall x, Weak T x x.

Model Answer:
Proof.
intros x.
unfold Weak, T.
reflexivity.
",{'dat_id': '39sample1'},1697,"Error: ""Cannot turn constructor T into an evaluable reference.""",Dependency,5,280,2023-05-04T00:42:13.120515Z,2023-05-04T00:42:13.120550Z,21.516
55,"Theorem to prove: 
Theorem wexpansion1_ctrl: wexpansion1 TX TX B -> controlled TX TY B.

Model Answer:
Proof.
intros H.
unfold controlled in |- *.
intros x y H0.
apply e_wexp1star_exists_wp2 with (3 := H).
{
apply Rule10_L_EqLX_EqRec3rec with (Kind TX) (tpar TX).
apply RecTypePar1tx_eq_lossless_containment_refl with 1.
}
{
auto.
}
",{'dat_id': '136sample0'},1536,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,105,2023-05-02T18:22:20.500894Z,2023-05-02T18:22:20.500930Z,34.223
57,"Theorem to prove: 
Theorem wexpansion1_ctrl: wexpansion1 TX TX B -> controlled TX TY B.

Model Answer:
Proof.
intros.
unfold wexpansion1 in H.
unfold controlled in |- *.
intros.
apply H; trivial.
",{'dat_id': '136sample2'},1538,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,107,2023-05-02T18:23:05.427487Z,2023-05-02T18:23:05.427522Z,23.907
58,"Theorem to prove: 
Theorem wexpansion1_ctrl: wexpansion1 TX TX B -> controlled TX TY B.

Model Answer:
Proof.
intros H.
unfold controlled in |- *.
intros s Ctrl.
apply CwithXuser.
apply H.
assumption.
",{'dat_id': '136sample3'},1539,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,108,2023-05-02T18:23:28.762107Z,2023-05-02T18:23:28.762144Z,22.278
59,"Theorem to prove: 
Theorem wexpansion1_ctrl: wexpansion1 TX TX B -> controlled TX TY B.

Model Answer:
intros.
unfold wexpansion1, controlled in *.
destruct H as (C, H).
exists C.
intros P' Q'.
apply H.
",{'dat_id': '136sample4'},1540,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,109,2023-05-02T18:23:52.471563Z,2023-05-02T18:23:52.471600Z,22.432
60,"Theorem to prove: 
Theorem plus_wf_controlled: controlled TX TY B.

Model Answer:
Proof.
  unfold controlled. intros [x1 y1] [x2 y2] Hwfp.
  unfold B, TX, TY in *.
  rewrite plus_comm.
  destruct Hwfp as [H1 H2].
  split; apply le_plus_trans; auto.
",{'dat_id': '137sample0'},1541,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,110,2023-05-02T18:24:10.281351Z,2023-05-02T18:24:10.281387Z,11.626
61,"Theorem to prove: 
Theorem plus_wf_controlled: controlled TX TY B.

Model Answer:
Proof.
unfold controlled, wf_controlled in *.
intros x y b H INeq WFXY Hb.

destruct (plus_with_overflow x y) as [|] eqn:PlusOV.
- apply plus_comm. auto.
- eapply plus_wf. eauto. auto.
",{'dat_id': '137sample1'},1542,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,111,2023-05-02T18:24:46.861366Z,2023-05-02T18:24:46.861403Z,33.492
62,"Theorem to prove: 
Theorem plus_wf_controlled: controlled TX TY B.

Model Answer:
Proof.
  unfold controlled.
  intros.
  apply wf_sum; auto.
",{'dat_id': '137sample2'},1543,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,112,2023-05-02T18:24:59.832493Z,2023-05-02T18:24:59.832529Z,11.514
63,"Theorem to prove: 
Theorem plus_wf_controlled: controlled TX TY B.

Model Answer:
Proof.
unfold controlled.
intros x Hx y Hy.
apply Bounded_plus_is_less_than_l in Hy.
apply Rabs_gt_impl_lt; try lra; [apply Rplus_le_ge_0_compat |]; simpl;
  apply Bounded_minus_stable;
  [apply not_exists_iff_forall | apply B_ge_present_or_absent]; auto with real.
",{'dat_id': '137sample3'},1544,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,113,2023-05-02T18:25:07.692629Z,2023-05-02T18:25:07.692665Z,6.589
64,"Theorem to prove: 
Theorem plus_wf_controlled: controlled TX TY B.

Model Answer:
Proof.
unfold controlled in |- *.
apply incl_refl.
",{'dat_id': '137sample4'},1545,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,114,2023-05-02T18:25:18.364284Z,2023-05-02T18:25:18.364322Z,7.158
67,"Theorem to prove: 
Theorem star_wf_controlled: controlled TX TY B.

Model Answer:
Proof.
unfold controlled.
unfold TX. unfold TY.
intros x1 Hx1 y Hy a H.
inversion H; subst.
repeat (apply in_all || rewrite max_min_0).
- apply star_lb. auto.
- auto with arith.
- apply star_ub. auto.
",{'dat_id': '138sample2'},1548,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,115,2023-05-02T18:25:39.186920Z,2023-05-02T18:25:39.186956Z,15.905
69,"Theorem to prove: 
Theorem star_wf_controlled: controlled TX TY B.

Model Answer:
Proof.
unfold controlled in |- *.
intros.
eapply forall_not_elim.
{
unfold well_founded in H0; unfold well_founded in H1; unfold well_founded in H2.
apply (H1 r).
}
{
intros r' Erbl'.
elim Erbl'; intros s Sr'.
case_eq(Immediate TX TY s tr).
{
intros tr' FimTraw'.
absurd (TX r' tr' s = true /\ ((TX, TY, B)!!s ~= tr = false)).
{
generalize (Fim_all_diff _ _ _ H0).
cut
  (forall (x y w sw sx sy : TX.Typed Reg) 
     (z : Immediate TX TY),
   Fim TX TY x y z -> Fim TX TY w sw z -> ssucc TX.Ty Typed x sx z ->
   ssucc TX.Ty Typed w sy z-> x <> w -> sx <> sy).
{
tauto.
}
{
tauto.
}
}
{
rewrite <- FimTraw'.
split.
{
auto with T_TYPINST.
}
(* Begin cut*)
cut ((TX, TY, B)!!s~=tr=false).
{
tauto+simple destruct (T_decidable.Exec   _ EE.exec_instr",{'dat_id': '138sample4'},1550,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,116,2023-05-02T18:25:49.540462Z,2023-05-02T18:25:49.540498Z,9.113
173,"Theorem to prove: 
Lemma identity_mon: monotonic TX TY (identity (X:=X) (Y:=Y)).

Model Answer:
Proof.
unfold monotonic.
unfold TX, TY, identity.
intros x1 x2 y1 y2 Hx Hy.
rewrite Hx.
rewrite Hy.
trivial.
",{'dat_id': '0sample3'},1654,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,229,2023-05-02T23:26:28.952835Z,2023-05-02T23:26:28.952871Z,9.901
174,"Theorem to prove: 
Lemma identity_mon: monotonic TX TY (identity (X:=X) (Y:=Y)).

Model Answer:
Proof.
unfold monotonic, identity.
intros.
apply (H x y H0).
",{'dat_id': '0sample4'},1655,"Error: ""Cannot turn inductive controlled into an evaluable reference.""",Dependency,5,230,2023-05-02T23:26:33.551273Z,2023-05-02T23:26:33.551309Z,3.653
0,"Theorem to prove: 
Lemma F_mon: monotonic TX TX F.

Model Answer:
Proof.
unfold monotonic.
intros x y Hxy.
apply F_le_compat.
assumption.
",{'dat_id': '139sample0'},1481,"Error: ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,69,2023-05-02T18:00:13.167636Z,2023-05-02T18:00:22.889357Z,83.111
170,"Theorem to prove: 
Lemma identity_mon: monotonic TX TY (identity (X:=X) (Y:=Y)).

Model Answer:
Proof.
unfold monotonic.
unfold identity.
intros.
simpl.
trivial.
",{'dat_id': '0sample0'},1651,"Error: ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,226,2023-05-02T23:25:53.034283Z,2023-05-02T23:25:53.034319Z,157.707
171,"Theorem to prove: 
Lemma identity_mon: monotonic TX TY (identity (X:=X) (Y:=Y)).

Model Answer:
Proof.
unfold monotonic.
intros.
unfold identity in *.
apply H.
",{'dat_id': '0sample1'},1652,"Error: ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,227,2023-05-02T23:26:00.236497Z,2023-05-02T23:26:00.236534Z,6.219
182,"Theorem to prove: 
Lemma chaining_r_mon: simulation TY TY T -> monotonic TX TY (chaining_r T).

Model Answer:
Proof.
intros SIM.
unfold monotonic, chaining_r.
intros w m m' X H [s [H0 H1]].
exists s; split; auto.
eapply simulation_star_preservation; eauto.
",{'dat_id': '2sample2'},1663,"Error: ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,246,2023-05-04T00:27:20.104180Z,2023-05-04T00:27:20.104260Z,16.892
186,"Theorem to prove: 
Lemma chaining_l_mon: expansion1 TX TX E -> monotonic TX TY (chaining_l E).

Model Answer:
Proof.
unfold monotonic, expansion1.
intros H_comp x y H_le.
destruct x as [x1 x2].
destruct y as [y1 y2].
simpl in *.
apply chain_step_eq_trans.
apply (chain_compose (proj2 (H_comp (x1, x2)))).
apply H_le.
",{'dat_id': '3sample1'},1667,"Error: ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,250,2023-05-04T00:28:36.959612Z,2023-05-04T00:28:36.959649Z,11.268
187,"Theorem to prove: 
Lemma chaining_l_mon: expansion1 TX TX E -> monotonic TX TY (chaining_l E).

Model Answer:
Proof.
unfold expansion1, monotonic, chaining_l.
intros Exp P1 P2 P1P2 x y.
intros xp yp Hxcon Hpcon.
elim (proj2 (Exp x p xp)); trivial.
elim (proj2 (Exp y p yp)); trivial.
",{'dat_id': '3sample2'},1668,"Error: ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,251,2023-05-04T00:28:58.580871Z,2023-05-04T00:28:58.580907Z,20.398
188,"Theorem to prove: 
Lemma chaining_l_mon: expansion1 TX TX E -> monotonic TX TY (chaining_l E).

Model Answer:
Proof.
intros.
unfold expansion1 in H.
unfold monotonic.
intros x y.
intros [fx fx'] [] [] x_eq E_x_eq H_in [fy fy'] [] [] y_eq E_y_eq Hy_in.
exists (fx \/ fx') (fy \/ fy').
split; [|split].
- case: x_eq => x_lt_yx. case: y_eq => y_lt_yy [|b_hp] H_in_bd; do?

  apply TypeTX.ssrbool.elimT2 in H_in_bd.

  + exfalso.
    move: H_in => /andP [H_in1 H_in2].
    move: Hy_in =>/andP [Hy_in1 Hy_in2 ].
    move: (@TypeTX.sets0.ltT_total_1 fx fy) ->; ssrbool.elimF; eauto. 

  + destruct (TypeTY.connect b_hp) as [ba Xba [|]].

    * left. eapply TypeTY.ltT_split (?); eauto.
      dest_setbit_tac := eapply TypeTY.eval_setbitR || eapply TypeTY.eval_setbitL || eapply TypeTY.eval_setbitI.

      - split. eauto. split; assumption.

      - exists (ba _",{'dat_id': '3sample3'},1669,"Error: ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,252,2023-05-04T00:29:30.447902Z,2023-05-04T00:29:30.447940Z,30.213
192,"Theorem to prove: 
Lemma Comp_mon: monotonic TX TY (Comp G F).

Model Answer:
Proof.
unfold monotonic.
intros x y Hleq.
generalize dependent TY.
generalize dependent TX.
induction Hleq; intros TX TY GA GF GT.

- apply Comp_case1; assumption.

- apply Comp_case2 with (X:=y) (Y:=TX).
  assumption.
  apply IHclos_refl_trans_1n; trivial.

- apply Comp_case3 with (X:=z) (Y:=TY).
  assumption.
  apply IHclos_refl_trans_1n; trivial.

- eapply t_trans.
  + eapply IHclos_refl_trans_1n1. exact GA. exact GF. exact GT.
  + eapply IHclos_refl_trans_1n2. eauto. exact GF. eauto.

",{'dat_id': '4sample2'},1673,"Error: ""Cannot turn inductive monotonic into an evaluable reference.""",Dependency,5,256,2023-05-04T00:33:55.194119Z,2023-05-04T00:33:55.194155Z,7.668
